system_file	kepler_file	num_moons	Planet_period(days)	P_Transits_present/absent	SNR1	SNR2	SNR3	SNR4	SNR5	M_Transits_present/absent1	M_Transits_present/absent2	M_Transits_present/absent3	M_Transits_present/absent4	M_Transits_present/absent5	DW_statistic	Best_offset	Planet_Transit_duration	t0_bary
july13_res_982	dummy_lc.txt	2	33.591661831137856	1111110011101111100011111111000111111	2.1583061899817166	3.1512560486904295	NA	NA	NA	1111110011101111100011111111000111111	1111110011101111100011111111000111111	NA	NA	NA	1.9875007372032067	9.531978864344357	0.18239934734266414	362.4289960062299
july13_res_252	dummy_lc.txt	2	14.613242220771305	1110111111111000000011111011111111111100000001111111111111111110000000111111101101110	3.503540774546688	3.7236900825200374	NA	NA	NA	1110111111111000000011111011111111111100000001111111111111111110000000111111101101110	1110111111111000000011111011111111111100000001111111111111111110000000111111101101110	NA	NA	NA	1.9845057628938934	3.6346629244498283	0.1988404192691957	356.5316821257271
july13_res_2	dummy_lc.txt	2	25.232730660728258	1011111100011111011111000011111111111000011111111	7.521778842366711	3.9078563111565483	NA	NA	NA	1011111100011111011111000011111111111000011111111	1011111100011111011111000011111111111000011111111	NA	NA	NA	1.9918544422463667	6.155266783361812	0.2182038530024452	359.0507151552696
july13_res_558	dummy_lc.txt	3	138.5077303473502	111101101	3.133463190225538	2.13830417475055	2.3431269547937106	NA	NA	111101101	111101101	111101101	NA	NA	1.9892386963805493	0.0	0.2566229652158799	353.39703936424183
july13_res_603	dummy_lc.txt	3	257.57342526823487	11111	4.651275375126003	3.49297409099091	2.8774380265790733	NA	NA	11111	11111	11111	NA	NA	1.9913639041028308	20.00593919121288	0.5145705095157495	373.9028699681883
july13_res_63	dummy_lc.txt	3	115.24006020967074	11111011011	1.876973435025552	1.3193917245368403	2.507213218268207	NA	NA	11111011011	11111011011	11111011011	NA	NA	1.9874150498946783	47.83678936268336	0.38909914316727345	401.2329159744507
july13_res_348	dummy_lc.txt	3	163.98934165321734	11111101	1.388719662374014	1.6484273786863488	1.2690336114788936	NA	NA	11111101	11111101	11111101	NA	NA	1.9928341764325388	1.5554483257224285	0.39459250745589575	354.9524087324193
july13_res_913	dummy_lc.txt	3	77.48895648170625	1110111011110111	3.47040415555516	1.8240095207407319	7.886186339336405	NA	NA	1110111011110111	1110111011110111	1110111011110111	NA	NA	1.9927132521101119	28.631679251700348	0.2852646140631134	381.5286804972558
july13_res_708	dummy_lc.txt	3	54.290254964284195	11110111111011111001111	3.393399913557179	3.3912620767291486	2.5685245866580804	NA	NA	11110111111011111001111	11110111111011111001111	11110111111011111001111	NA	NA	1.989646844154425	6.710649655150988	0.30257650761486393	359.60761989543863
july13_res_863	dummy_lc.txt	3	495.3468019913952	111	6.359936690024037	5.273852541878321	8.486295907637244	NA	NA	111	111	111	NA	NA	1.9890057139620994	34.317453002774286	0.6103340687801825	389.21442266921883
